,course_title,course_organization,course_URL,course_rating,course_difficulty,course_duration,course_review_count,course_skills
118,Calculus for Machine Learning and Data Science,DeepLearning.AI,/learn/machine-learning-calculus,4.8,Beginner,1 - 4 Weeks,372,"Machine Learning, Calculus, Differential Equations, Mathematics, Machine Learning Algorithms, Regression, Algebra, Algorithms, Artificial Neural Networks"
119,Python Project for Data Science,IBM,/learn/python-project-for-data-science,4.5,Intermediate,1 - 4 Weeks,3700,"Python Programming, Computer Programming, Data Analysis, Data Science"
120,English for Career Development,University of Pennsylvania,/learn/careerdevelopment,4.8,Mixed,1 - 3 Months,14600,"Business Communication, Critical Thinking, Human Resources, Human Resources Operations, Application Development, People Analysis"
121,Medical Neuroscience,Duke University,/learn/medical-neuroscience,4.9,Advanced,3 - 6 Months,2700,Health
122,Innovative Teaching with ChatGPT,Vanderbilt University,/learn/chatgpt-innovative-teaching,4.7,Beginner,1 - 4 Weeks,28,
123,Auditing I: Conceptual Foundations of Auditing,University of Illinois at Urbana-Champaign,/learn/auditing-part1-conceptual-foundations,4.7,Intermediate,1 - 3 Months,517,"Accounting, Audit, Critical Thinking, Financial Analysis, Regulations and Compliance, Risk Management, Financial Accounting, General Accounting, Leadership and Management, Finance"
124,Introduction to Calculus,The University of Sydney,/learn/introduction-to-calculus,4.8,Intermediate,1 - 3 Months,3400,"Algebra, Calculus, Mathematical Theory & Analysis, Mathematics, Problem Solving, Computational Logic, Critical Thinking, Differential Equations, Plot (Graphics), Linear Algebra"
125,International Humanitarian Law in Theory and Practice,Universiteit Leiden,/learn/international-humanitarian-law,4.8,Beginner,1 - 3 Months,1600,
126,Introduction to Marketing,University of Pennsylvania,/learn/wharton-marketing,4.8,Mixed,1 - 3 Months,12500,"Brand Management, Customer Analysis, Market Analysis, Marketing, Marketing Design, Product Marketing, Product Strategy, Strategy, Digital Marketing, Marketing Management, Communication"
127,Create High-Fidelity Designs and Prototypes in Figma,Google,/learn/high-fidelity-designs-prototype,4.8,Beginner,1 - 3 Months,3400,User Experience
128,Work Smarter with Microsoft Word,Microsoft,/learn/microsoft-word-work-smarter,4.7,Beginner,1 - 3 Months,935,"Collaboration, Communication, Computer Graphics, Microsoft Excel, Visual Design, Research and Design, Writing, Interactive Data Visualization, Software Architecture, User Experience Design"
129,Introduction to Front-End Development,Meta,/learn/introduction-to-front-end-development,4.8,Beginner,1 - 4 Weeks,8700,"HTML and CSS, React (web framework), Web Development, Front-End Web Development, Web Design, Web Development Tools"
130,SQL for Data Science,"University of California, Davis",/learn/sql-for-data-science,4.6,Beginner,1 - 4 Weeks,15600,"Critical Thinking, Data Analysis, Data Management, Database Administration, Database Design, Databases, Problem Solving, SQL, Big Data, Data Model"
131,Excel Skills for Business: Essentials,Macquarie University,/learn/excel-essentials,4.9,Beginner,1 - 3 Months,47500,"Microsoft Excel, Spreadsheet Software, Data Visualization, Plot (Graphics), Data Analysis, Leadership and Management"
132,Introduction to Financial Accounting,University of Pennsylvania,/learn/wharton-accounting,4.7,Mixed,1 - 4 Weeks,7900,"Accounting, Accounts Payable and Receivable, Finance, Financial Accounting, General Accounting, Generally Accepted Accounting Principles (GAAP), Account Management, Cash Management, Cost Accounting, Financial Analysis"
133,IA generativa en el aula,Universidad Nacional Autónoma de México,/learn/iagenerativa,4.8,Beginner,1 - 4 Weeks,10,
